code,name,site_url
XDA,Đại Học Xây Dựng Hà Nội,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-xay-dung-ha-noi-XDA.html
XDT,Đại Học Xây Dựng Miền Trung,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-xay-dung-mien-trung-XDT.html
YCT,Đại Học Y Dược Cần Thơ,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-y-duoc-can-tho-YCT.html
YDD,Đại Học Điều Dưỡng Nam Định,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-dieu-duong-nam-dinh-YDD.html
YDN,Đại học Kỹ thuật Y Dược Đà Nẵng,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-ky-thuat-y-duoc-da-nang-YDN.html
YDS,Đại Học Y Dược TPHCM,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-y-duoc-tphcm-YDS.html
YHB,Đại Học Y Hà Nội,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-y-ha-noi-YHB.html
YKV,Đại Học Y Khoa Vinh,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-y-khoa-vinh-YKV.html
YPB,Đại Học Y Hải Phòng,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-y-hai-phong-YPB.html
YQH,Học Viện Quân Y - Hệ Quân sự,http://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-quan-y-he-quan-su-YQH.html
YTB,Đại Học Y Dược Thái Bình,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-y-duoc-thai-binh-YTB.html
YTC,Đại Học Y Tế Công Cộng,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-y-te-cong-cong-YTC.html
ZCH,Trường Sĩ Quan Công Binh - Hệ Dân sự - Đại học Ngô Quyền,http://diemthi.tuyensinh247.com/diem-chuan/truong-si-quan-cong-binh-he-dan-su-dai-hoc-ngo-quyen-ZCH.html
ZNH,Đại Học Văn Hóa – Nghệ Thuật Quân Đội,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-van-hoa-nghe-thuat-quan-doi-ZNH.html
CKC,Cao Đẳng Kỹ Thuật Cao Thắng,http://diemthi.tuyensinh247.com/diem-chuan/cao-dang-ky-thuat-cao-thang-CKC.html
DDC,Khoa Công Nghệ – Đại Học Đà Nẵng,http://diemthi.tuyensinh247.com/diem-chuan/khoa-cong-nghe-dai-hoc-da-nang-DDC.html
DDI,Cao Đẳng Công Nghệ Thông Tin – Đại Học Đà Nẵng,http://diemthi.tuyensinh247.com/diem-chuan/cao-dang-cong-nghe-thong-tin-dai-hoc-da-nang-DDI.html
FPT,Đại Học FPT,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-fpt-FPT.html
MTH,Đại Học Mỹ Thuật Việt Nam,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-my-thuat-viet-nam-MTH.html
MTS,Đại Học Mỹ Thuật TPHCM,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-my-thuat-tphcm-MTS.html
TCU,Trường Sĩ Quan Thông Tin - Hệ Dân Sự - Đại Học Thông Tin Liên Lạc,http://diemthi.tuyensinh247.com/diem-chuan/truong-si-quan-thong-tin-he-dan-su-dai-hoc-thong-tin-lien-lac-TCU.html
TKG,Đại học Kiên Giang,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kien-giang-TKG.html
TTB,Đại Học Tây Bắc,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-tay-bac-TTB.html
VTT,Đại Học Võ Trường Toản,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-vo-truong-toan-VTT.html
ZPH,Trường Sĩ Quan Kĩ Thuật Quân Sự - Hệ Dân sự - Đại Học Trần Đại Nghĩa,http://diemthi.tuyensinh247.com/diem-chuan/truong-si-quan-ki-thuat-quan-su-he-dan-su-dai-hoc-tran-dai-nghia-ZPH.html
